row_id,만족도,만족요인,페인포인트,고객니즈,핵심키워드,요약
1,만족,스태프서비스|응원분위기,식음료,푸드트럭 대기시간 단축과 대형 스크린 추가,스태프|친절|푸드트럭,스태프 친절에 만족하나 푸드트럭 대기시간 불만
2,매우만족,응원분위기,식음료,편의점 메뉴 다양화 희망,첫직관|분위기|반함,첫 직관에서 분위기에 완전히 반한 긍정 경험
3,보통,선수경기력,식음료,편의점 메뉴 다양화 필요,직관|감동|메뉴단조,직관 감동은 느꼈으나 편의점 메뉴와 재방문 의사 부정적
4,만족,응원분위기,좌석시설|안내티켓|굿즈용품,컵홀더 설치와 키오스크 증설로 대기 단축,키오스크|대기시간|컵홀더,응원 분위기 좋으나 표지판·컵홀더·굿즈 재고 개선 필요
5,매우만족,이벤트팬서비스,편의시설|식음료,충전소 설치와 푸드트럭 메뉴 다양화,다음홈경기|이벤트|충전소,이벤트와 팬서비스에 만족하며 재방문 의사 강함
6,만족,가격가성비,좌석시설|식음료,좌석 간격 확대와 편의점 메뉴 다양화,맥주|축구|천국,맥주와 축구 조합에 만족하나 좌석 간격 불편
7,매우만족,응원분위기,안내티켓,온라인 발권 강화와 컵홀더 설치,다음홈경기|응원분위기|컵홀더,응원 분위기에 크게 만족하며 재방문 의사 강함
8,만족,응원분위기,편의시설|식음료|이벤트부족,와이파이 개선과 푸드트럭 위치 개선,가성비|여가활동|와이파이,가성비 좋은 여가활동이나 와이파이·푸드트럭 위치 개선 필요
9,만족,이벤트팬서비스|응원분위기,식음료|이벤트부족|안내티켓,푸드트럭 위치 개선과 경품 확대,응원단|감사|푸드트럭,응원단에 감사하나 푸드트럭 위치와 경품 개선 필요
10,만족,스태프서비스|동반경험,좌석시설|안내티켓,컵홀더 설치와 앱 내 좌석안내 개선,스태프|친절|컵홀더,스태프 친절과 가족 경험 좋으나 컵홀더·안내 개선 필요
11,만족,동반경험,굿즈용품|이벤트부족|식음료,굿즈 재고 확대와 경품 확대,만족스럽습니다|굿즈품절|경품,매번 만족스러우나 굿즈 품절과 경품 부족 아쉬움
12,만족,응원분위기|동반경험,식음료|편의시설,푸드트럭 대기시간 단축과 주차장 확대,응원단|감사|푸드트럭,응원단에 감사하나 푸드트럭 대기와 주차장 개선 필요
13,만족,이벤트팬서비스,좌석시설|식음료|편의시설,좌석 간격 확대와 컵홀더 설치,시즌권|고민|좌석간격,시즌권 고민 중이나 좌석 간격과 푸드트럭 위치 개선 필요
14,만족,이벤트팬서비스,편의시설|안내티켓,주차장 접근성 개선과 안내 표지판 확대,야간조명|환상적|주차장,야간 조명 분위기 환상적이나 주차장 거리 불편
15,만족,가격가성비,식음료|안내티켓,푸드트럭 위치 개선과 편의점 재고 관리,주차불편|경기좋음|푸드트럭,경기 자체는 좋으나 주차와 푸드트럭 위치 불편
16,만족,이벤트팬서비스|응원분위기,이벤트부족|안내티켓|퇴장동선,이벤트 사전 안내 강화와 퇴장 동선 개선,완벽한하루|이벤트|퇴장동선,이벤트와 경기 모두 만족하나 안내·퇴장 동선 개선 필요
17,만족,가격가성비,이벤트부족|편의시설|식음료|퇴장동선,이벤트 안내 강화와 와이파이·퇴장 동선 개선,가성비|여가활동|이벤트,가성비 좋은 여가활동이나 이벤트 안내와 퇴장 동선 개선 필요
18,보통,동반경험,식음료|편의시설,편의점 메뉴 다양화와 좌석 쿠션 제공,좌석쿠션|장시간관람|편의점,가족과 함께 좋으나 좌석 쿠션과 편의점 메뉴 개선 필요
19,만족,시설접근성,안내티켓|편의시설,안내원 확충과 충전소 설치,포토존|사진|안내원,포토존 경험 좋으나 안내원 부족과 충전소 필요
20,만족,응원분위기,굿즈용품|퇴장동선,굿즈 가격 인하와 퇴장 동선 개선,퇴장동선|완벽|굿즈가격,응원 분위기 좋으나 굿즈 가격과 퇴장 동선 개선 필요
21,만족,응원분위기|선수경기력,좌석시설|편의시설,좌석 등받이 개선과 컵홀더·충전소 설치,응원분위기|최고|좌석등받이,응원 분위기 최고이나 좌석 등받이와 편의시설 개선 필요
22,만족,가격가성비|이벤트팬서비스,식음료|이벤트부족,편의점 대기시간 단축과 경품 확대,야간조명|환상적|편의점줄,야간 조명 분위기 환상적이나 편의점 대기줄 불편
23,만족,이벤트팬서비스,안내티켓|굿즈용품,안내 표지판 확대와 굿즈 재고 확대,하프타임|이벤트|티켓대기,하프타임 이벤트 만족하나 티켓 대기와 안내 개선 필요
24,만족,선수경기력,이벤트부족,경품 확대와 외국어 안내 서비스 강화,외국어안내|외국인친구|경품,선수 경기력 만족하나 경품과 외국어 안내 개선 필요
25,매우만족,선수경기력|이벤트팬서비스,좌석시설|식음료|편의시설,좌석 간격 확대와 와이파이·화장실 개선,감동|열심히|좌석간격,선수 경기력에 크게 감동하나 좌석 간격과 시설 개선 필요
26,만족,이벤트팬서비스|응원분위기,안내티켓,안내 표지판 확대 필요,응원분위기|음향|안내표지판,응원 분위기와 음향 좋으나 안내 표지판 개선 필요
27,만족,이벤트팬서비스,안내티켓|식음료,좌석 찾기 편의 개선과 편의점 메뉴 다양화,야간조명|환상적|좌석찾기,야간 조명 분위기 환상적이나 좌석 찾기 어려움
28,만족,이벤트팬서비스|응원분위기,이벤트부족|편의시설,이벤트 다양화와 경품·충전소 확대,주차불편|경기좋음|이벤트,경기 자체는 좋으나 주차와 이벤트 다양성 개선 필요
29,만족,선수경기력,좌석시설|식음료|이벤트부족,컵홀더 설치와 푸드트럭 대기시간 단축,시즌권|고민|푸드트럭,시즌권 고민 중이나 컵홀더와 푸드트럭 대기 개선 필요
30,만족,가격가성비,이벤트부족|식음료,이벤트 다양화와 편의점 메뉴 다양화,응원단|감사|이벤트다양성,응원단에 감사하나 이벤트 다양성과 편의점 메뉴 개선 필요
31,만족,선수경기력,안내티켓,안내 표지판 확대 필요,강력추천|선수경기력|안내표지판,선수 경기력에 만족하며 친구들에게 강력 추천
32,매우만족,선수경기력|동반경험,편의시설,주차장 확대 필요,가족|즐거운시간|주차장,가족과 즐거운 시간 보내며 선수 경기력에 만족
33,만족,시설접근성|이벤트팬서비스,편의시설,포토존 확대 필요,완벽한하루|이벤트|포토존,이벤트와 경기 모두 만족하며 완벽한 하루
34,매우만족,동반경험,이벤트부족|편의시설,이벤트 다양화와 충전소 설치,외국인친구|좋아함|이벤트,외국인 친구도 크게 만족한 긍정 경험
35,만족,가격가성비,굿즈용품|좌석시설|안내티켓,굿즈 대기줄 단축과 컵홀더 설치,다음홈경기|굿즈대기줄|컵홀더,티켓 가격 만족하나 굿즈 대기줄과 컵홀더 개선 필요
36,매우만족,선수경기력|응원분위기,안내티켓|좌석시설|편의시설,좌석 찾기 편의 개선과 주차장 확대,응원분위기|음향|좌석찾기,응원 분위기와 음향 좋으나 좌석 찾기와 주차장 개선 필요
37,만족,응원분위기|선수경기력,식음료|편의시설,푸드트럭 메뉴 다양화와 와이파이 개선,선수|팬서비스|최고,선수 팬서비스와 경기력 최고이나 푸드트럭과 와이파이 개선 필요
38,만족,이벤트팬서비스|동반경험,안내티켓|식음료|이벤트부족,좌석 찾기 편의 개선과 외국어 안내 서비스,연인|데이트|최고,연인과 데이트로 최고이나 좌석 찾기와 이벤트 개선 필요
39,만족,동반경험,식음료|안내티켓,푸드트럭 메뉴 다양화와 키오스크 증설,비맞으며|기억남음|키오스크,비 맞으며 본 특별한 경험이나 푸드트럭과 키오스크 개선 필요